customer_id,first_name,last_name,email,phone,join_date,city,state,postal_code,birthdate,gender
1,HbolMJ,evblA,hbolmj@example.com,91-1652580863,28/09/2016,Kolkata,Delhi,560001,2019.01.10,
2,ncxgVe,GUsjd,ncxgve@exam,98834ABCD,2024.05.09,Mumbai,Karnataka,500081,2022-11-14,
3,HBmyoW,lqNcQ,, ,2018-01-01,Delhi,Telangana,700001,May 20 2017,Female
4,UHhhMC,wEsZh,N/A,9781165354,2017-10-26,Bengaluru,Telangana,500081,2023.08.15,M
5,piaLLY,AfGRA,pially@exam,+91 3199954139,2024.01.18,Delhi ,Telangana,560001,Dec 17 2015,M
6,YBgIXi,FYWNJ,, ,2022.07.14,Ahmedabad,Delhi,560001,12/10/2017,M
7,rElldG,VSdmI,relldg@exam,91-1954781044,2020-03-27,Bengaluru ,West Bengal,700001,2023-12-24,F
8,jBhjyT,QSfHC,jbhjyt@example.com,9981424039,Dec 22 2017,Hyderabad,West Bengal,600 002,Jun 04 2022,F
9,jldMdq,yVBcA,jldmdq@exam,9562182564,2021.07.18,Hyderabad,West Bengal,700001,2017.09.04,Female
10,gHxWWa,DfBAg,,9831876960,2024.02.29,Bengaluru,Karnataka,500081,2016-04-17,Unknown
11,CoFLkG,zVRew,,9076275400,26/11/2024,Chennai,Telangana,600 002,Aug 29 2016,F
12,csWYcs,IsDTY,cswycs@exam,+91 8988073988,03/02/2024,Hyderabad,West Bengal,560001,2019-04-16,Female
13,lQxpPl,krSYo,lqxppl@mail..com, ,2022.08.15,Chennai,Maharashtra,400001,2021.07.06,M
14,fwLqFA,DnKaW,fwlqfa@mail..com,+91 3063387334,2019.07.07,Mumbai,West Bengal,380001,06/08/2022,
15,DvRpkO,qwJAP,dvrpko@exam,9266092381,09/07/2015,Ahmedabad,Gujarat,560001,Feb 09 2020,Unknown
16,DLtuhJ,SUOlP,dltuhj@mail..com, ,25/07/2015,Bengaluru,Gujarat,4000A,2022.06.27,Female
17,FLARCU,ynmHN,flarcu@mail..com, ,11/01/2022,Hyderabad,West Bengal,500081,2017.08.18,Male
18,qChmKK,vCvkv,qchmkk@mail..com,9873037894,20/05/2023,Ahmedabad,Delhi,4000A,Apr 29 2015,Male
19,IPLRVY,VEIew,N/A,+91 0323737820,2015-03-21,Kolkata,Tamil Nadu,600001,2023-06-17,F
20,kbhgID,KNiFM,kbhgid@example.com,+91 9103693706,13/01/2022,Bengaluru,Maharashtra,560001,2023-12-06,Male
21,BIdHav,wsUxh,bidhav@exam,91-9285447288,2015.12.21,Ahmedabad,Delhi,380001,2018-10-09,Female
22,SjlPrT,oaXeL,N/A,91-7664702635,2020.04.22,Pune,Telangana,700001,Dec 12 2018,Male
23,plLqMX,jMoEN,pllqmx@mail..com,98233ABCD,10/12/2022,Hyderabad ,Tamil Nadu,600 002,11/04/2018,Unknown
24,TzTDyw,cWyQu,tztdyw@example.com,91-6015391767,Jul 13 2017,Ahmedabad,Maharashtra,380001,2018-06-04,
