customer_id,first_name,last_name,email,phone,join_date,city,state,postal_code,birthdate,gender
1.0,HbolMJ,evblA,hbolmj@example.com,1652580863,2016-09-28,Kolkata,Delhi,560001,2019-10-01,
2.0,ncxgVe,GUsjd,,,,Mumbai,Karnataka,500081,,
3.0,HBmyoW,lqNcQ,,,,Delhi,Telangana,700001,,F
4.0,UHhhMC,wEsZh,,9781165354,,Bengaluru,Telangana,500081,,M
5.0,piaLLY,AfGRA,,3199954139,,Delhi,Telangana,560001,,M
6.0,YBgIXi,FYWNJ,,,,Ahmedabad,Delhi,560001,,M
7.0,rElldG,VSdmI,,1954781044,,Bengaluru,West Bengal,700001,,F
8.0,jBhjyT,QSfHC,jbhjyt@example.com,9981424039,,Hyderabad,West Bengal,,,F
9.0,jldMdq,yVBcA,,9562182564,,Hyderabad,West Bengal,700001,2017-04-09,F
10.0,gHxWWa,DfBAg,,9831876960,,Bengaluru,Karnataka,500081,,
11.0,CoFLkG,zVRew,,9076275400,2024-11-26,Chennai,Telangana,,,F
12.0,csWYcs,IsDTY,,8988073988,2024-02-03,Hyderabad,West Bengal,560001,,F
13.0,lQxpPl,krSYo,lqxppl@mail..com,,,Chennai,Maharashtra,400001,2021-06-07,M
14.0,fwLqFA,DnKaW,fwlqfa@mail..com,3063387334,,Mumbai,West Bengal,380001,,
15.0,DvRpkO,qwJAP,,9266092381,2015-07-09,Ahmedabad,Gujarat,560001,,
16.0,DLtuhJ,SUOlP,dltuhj@mail..com,,2015-07-25,Bengaluru,Gujarat,,,F
17.0,FLARCU,ynmHN,flarcu@mail..com,,2022-01-11,Hyderabad,West Bengal,500081,,M
18.0,qChmKK,vCvkv,qchmkk@mail..com,9873037894,2023-05-20,Ahmedabad,Delhi,,,M
19.0,IPLRVY,VEIew,,0323737820,,Kolkata,Tamil Nadu,600001,,F
20.0,kbhgID,KNiFM,kbhgid@example.com,9103693706,2022-01-13,Bengaluru,Maharashtra,560001,,M
21.0,BIdHav,wsUxh,,9285447288,,Ahmedabad,Delhi,380001,,F
22.0,SjlPrT,oaXeL,,7664702635,,Pune,Telangana,700001,,M
23.0,plLqMX,jMoEN,pllqmx@mail..com,,2022-12-10,Hyderabad,Tamil Nadu,,,
24.0,TzTDyw,cWyQu,tztdyw@example.com,6015391767,,Ahmedabad,Maharashtra,380001,,
25.0,XfNGne,CivJy,xfngne@example.com,2280227581,2016-04-15,Mumbai,Gujarat,400001,,F
26.0,PEQVwy,uoCwF,,,,Hyderabad,Gujarat,400001,,M
27.0,jEHzes,ISrKo,,0021788084,2015-08-11,Kolkata,Delhi,,,F
28.0,ngoTzb,PKqav,,9418475289,,Mumbai,Telangana,,,M
29.0,oPvWAQ,pEZzh,opvwaq@mail..com,,,Pune,Maharashtra,110001,,
30.0,tSvqyV,ZPHhY,,9318090189,,Hyderabad,West Bengal,380001,,M
31.0,SStqLN,bdGVZ,sstqln@example.com,,,Ahmedabad,Maharashtra,600001,2015-08-07,M
32.0,pthBDP,eTGmV,,4220896143,,Pune,Delhi,500081,,F
33.0,ftspKb,uaSOY,ftspkb@mail..com,,,Delhi,Maharashtra,110001,,
34.0,nNNJhf,cPbsg,,,,Mumbai,Gujarat,,2025-06-11,
35.0,TPydNl,JuRCe,,9213723636,,Kolkata,Karnataka,560001,,
